open,high,low,close,date
0.8975,0.9022,0.8942,0.9011,2020-08-21
0.9035,0.9069,0.8964,0.8975,2020-08-20
0.9013,0.9045,0.9001,0.9034,2020-08-19
0.9061,0.9062,0.8999,0.9013,2020-08-18
0.9041,0.9070,0.9034,0.9061,2020-08-17
0.9041,0.9059,0.8999,0.9044,2020-08-14
0.9042,0.9052,0.9029,0.9041,2020-08-13
0.8993,0.9053,0.8987,0.9042,2020-08-12
0.8981,0.9009,0.8968,0.8992,2020-08-11
0.9028,0.9030,0.8972,0.8980,2020-08-10
0.9040,0.9042,0.9014,0.9031,2020-08-07
0.9045,0.9053,0.8983,0.9040,2020-08-06
0.9025,0.9059,0.9010,0.9044,2020-08-05
0.8993,0.9041,0.8989,0.9025,2020-08-04
0.9003,0.9015,0.8980,0.8993,2020-08-03
0.9046,0.9063,0.8979,0.8998,2020-07-31
0.9075,0.9079,0.9015,0.9046,2020-07-30
0.9066,0.9087,0.9033,0.9074,2020-07-29
0.9124,0.9136,0.9047,0.9066,2020-07-28
0.9108,0.9148,0.9099,0.9124,2020-07-27
0.9106,0.9125,0.9082,0.9112,2020-07-24
0.9085,0.9124,0.9080,0.9105,2020-07-23
0.9059,0.9137,0.9050,0.9085,2020-07-22
0.9043,0.9068,0.8999,0.9058,2020-07-21
0.9100,0.9138,0.9029,0.9042,2020-07-20
0.9067,0.9135,0.9056,0.9091,2020-07-17
0.9064,0.9095,0.9054,0.9067,2020-07-16
0.9074,0.9079,0.9042,0.9064,2020-07-15
0.9034,0.9113,0.9030,0.9074,2020-07-14
0.8954,0.9039,0.8944,0.9034,2020-07-13
0.8954,0.8970,0.8936,0.8950,2020-07-10
0.8988,0.9000,0.8944,0.8954,2020-07-09
0.8989,0.9011,0.8971,0.8987,2020-07-08
0.9054,0.9056,0.8966,0.8986,2020-07-07
0.9016,0.9067,0.9013,0.9054,2020-07-06
0.9014,0.9029,0.9001,0.9011,2020-07-03
0.9018,0.9032,0.9001,0.9013,2020-07-02
0.9065,0.9079,0.9007,0.9017,2020-07-01
0.9138,0.9145,0.9054,0.9064,2020-06-30
0.9094,0.9176,0.9083,0.9138,2020-06-29
0.9033,0.9105,0.9023,0.9093,2020-06-26
0.9063,0.9065,0.9000,0.9032,2020-06-25
0.9034,0.9073,0.9014,0.9063,2020-06-24
0.9026,0.9079,0.9017,0.9033,2020-06-23
0.9055,0.9060,0.9017,0.9026,2020-06-22
0.9018,0.9073,0.9005,0.9051,2020-06-19
0.8954,0.9042,0.8951,0.9018,2020-06-18
0.8959,0.8990,0.8936,0.8953,2020-06-17
0.8973,0.8981,0.8910,0.8959,2020-06-16
0.8989,0.9025,0.8960,0.8973,2020-06-15
0.8976,0.8997,0.8946,0.8972,2020-06-12
0.8928,0.9015,0.8923,0.8976,2020-06-11
0.8908,0.8934,0.8881,0.8928,2020-06-10
0.8869,0.8939,0.8862,0.8908,2020-06-09
0.8901,0.8929,0.8862,0.8869,2020-06-08
0.8998,0.9005,0.8884,0.8910,2020-06-05
0.8933,0.9007,0.8929,0.8981,2020-06-04
0.8903,0.8939,0.8876,0.8933,2020-06-03
0.8915,0.8922,0.8865,0.8903,2020-06-02
0.9000,0.9006,0.8901,0.8914,2020-06-01
0.8989,0.9055,0.8973,0.8991,2020-05-29
0.8980,0.8994,0.8961,0.8987,2020-05-28
0.8903,0.8994,0.8888,0.8980,2020-05-27
0.8937,0.8941,0.8880,0.8903,2020-05-26
0.8948,0.8954,0.8926,0.8937,2020-05-25
0.8958,0.8971,0.8927,0.8959,2020-05-22
0.8971,0.9000,0.8944,0.8957,2020-05-21
0.8917,0.8983,0.8911,0.8971,2020-05-20
0.8946,0.8958,0.8901,0.8917,2020-05-19
0.8950,0.8960,0.8893,0.8946,2020-05-18
0.8836,0.8946,0.8827,0.8939,2020-05-15
0.8843,0.8871,0.8825,0.8836,2020-05-14
0.8844,0.8877,0.8807,0.8843,2020-05-13
0.8762,0.8851,0.8758,0.8845,2020-05-12
0.8733,0.8807,0.8720,0.8762,2020-05-11
0.8758,0.8765,0.8712,0.8734,2020-05-08
0.8756,0.8790,0.8707,0.8758,2020-05-07
0.8753,0.8761,0.8737,0.8756,2020-05-06
0.8763,0.8764,0.8690,0.8711,2020-05-05
0.8795,0.8814,0.8752,0.8762,2020-05-04
0.8696,0.8796,0.8694,0.8788,2020-05-01
0.8719,0.8743,0.8670,0.8696,2020-04-30
0.8712,0.8755,0.8692,0.8719,2020-04-29
0.8714,0.8725,0.8687,0.8710,2020-04-28
0.8747,0.8751,0.8703,0.8713,2020-04-27
0.8726,0.8768,0.8711,0.8753,2020-04-24
0.8768,0.8777,0.8707,0.8725,2020-04-23
0.8826,0.8837,0.8765,0.8768,2020-04-22
0.8732,0.8864,0.8725,0.8825,2020-04-21
0.8698,0.8744,0.8697,0.8730,2020-04-20
0.8701,0.8722,0.8682,0.8694,2020-04-17
0.8706,0.8729,0.8681,0.8701,2020-04-16
0.8701,0.8745,0.8694,0.8705,2020-04-15
0.8722,0.8739,0.8681,0.8700,2020-04-14
0.8772,0.8779,0.8705,0.8722,2020-04-13
0.8766,0.8786,0.8759,0.8779,2020-04-10
0.8765,0.8787,0.8724,0.8766,2020-04-09
0.8824,0.8833,0.8744,0.8766,2020-04-08
0.8843,0.8859,0.8799,0.8824,2020-04-07
0.8838,0.8864,0.8764,0.8843,2020-04-06
0.8754,0.8836,0.8740,0.8812,2020-04-03
0.8837,0.8848,0.8738,0.8754,2020-04-02
0.8891,0.8912,0.8785,0.8837,2020-04-01
0.8911,0.8972,0.8811,0.8891,2020-03-31
0.8956,0.8988,0.8866,0.8911,2020-03-30
0.9075,0.9081,0.8904,0.8945,2020-03-27
0.9204,0.9239,0.9032,0.9075,2020-03-26
0.9171,0.9276,0.9053,0.9205,2020-03-25
0.9296,0.9325,0.9142,0.9171,2020-03-24
0.9231,0.9388,0.9162,0.9296,2020-03-23
0.9324,0.9325,0.8994,0.9178,2020-03-20
0.9389,0.9500,0.9120,0.9324,2020-03-19
0.9121,0.9496,0.9067,0.9389,2020-03-18
0.9102,0.9141,0.9064,0.9120,2020-03-17
0.8995,0.9150,0.8986,0.9103,2020-03-16
0.8883,0.9049,0.8842,0.9032,2020-03-13
0.8786,0.8913,0.8781,0.8881,2020-03-12
0.8763,0.8848,0.8714,0.8785,2020-03-11
0.8734,0.8781,0.8680,0.8762,2020-03-10
0.8698,0.8770,0.8654,0.8733,2020-03-09
0.8667,0.8718,0.8641,0.8649,2020-03-06
0.8651,0.8681,0.8620,0.8671,2020-03-05
0.8716,0.8744,0.8645,0.8651,2020-03-04
0.8730,0.8744,0.8681,0.8716,2020-03-03
0.8623,0.8742,0.8593,0.8733,2020-03-02
0.8534,0.8642,0.8520,0.8600,2020-02-28
0.8432,0.8543,0.8430,0.8534,2020-02-27
0.8369,0.8442,0.8355,0.8432,2020-02-26
0.8395,0.8401,0.8337,0.8368,2020-02-25
0.8363,0.8407,0.8342,0.8395,2020-02-24
0.8375,0.8385,0.8342,0.8371,2020-02-21
0.8364,0.8416,0.8356,0.8374,2020-02-20
0.8302,0.8368,0.8293,0.8363,2020-02-19
0.8333,0.8348,0.8281,0.8302,2020-02-18
0.8307,0.8335,0.8301,0.8333,2020-02-17
0.8311,0.8344,0.8292,0.8299,2020-02-14
0.8388,0.8400,0.8294,0.8311,2020-02-13
0.8426,0.8429,0.8380,0.8388,2020-02-12
0.8448,0.8459,0.8419,0.8426,2020-02-11
0.8488,0.8504,0.8441,0.8448,2020-02-10
0.8493,0.8498,0.8460,0.8490,2020-02-07
0.8460,0.8498,0.8459,0.8493,2020-02-06
0.8474,0.8491,0.8433,0.8460,2020-02-05
0.8508,0.8538,0.8463,0.8474,2020-02-04
0.8411,0.8518,0.8406,0.8508,2020-02-03
0.8428,0.8430,0.8386,0.8400,2020-01-31
0.8460,0.8487,0.8411,0.8426,2020-01-30
0.8462,0.8468,0.8446,0.8459,2020-01-29
0.8434,0.8479,0.8432,0.8461,2020-01-28
0.8436,0.8449,0.8407,0.8433,2020-01-27
0.8424,0.8444,0.8386,0.8430,2020-01-24
0.8442,0.8457,0.8415,0.8424,2020-01-23
0.8495,0.8501,0.8423,0.8442,2020-01-22
0.8530,0.8535,0.8487,0.8493,2020-01-21
0.8529,0.8553,0.8519,0.8530,2020-01-20
0.8517,0.8533,0.8486,0.8524,2020-01-17
0.8548,0.8561,0.8508,0.8517,2020-01-16
0.8544,0.8577,0.8536,0.8548,2020-01-15
0.8570,0.8596,0.8538,0.8543,2020-01-14
0.8527,0.8582,0.8520,0.8570,2020-01-13
0.8498,0.8520,0.8478,0.8515,2020-01-10
0.8477,0.8533,0.8470,0.8498,2020-01-09
0.8494,0.8516,0.8454,0.8477,2020-01-08
0.8495,0.8527,0.8465,0.8494,2020-01-07
0.8535,0.8545,0.8491,0.8497,2020-01-06
0.8500,0.8543,0.8492,0.8527,2020-01-03
0.8459,0.8514,0.8456,0.8501,2020-01-02
0.8455,0.8483,0.8450,0.8459,2020-01-01
0.8535,0.8549,0.8450,0.8455,2019-12-31
0.8544,0.8557,0.8511,0.8536,2019-12-30
0.8537,0.8565,0.8508,0.8544,2019-12-27
0.8549,0.8556,0.8528,0.8534,2019-12-26
0.8570,0.8589,0.8532,0.8547,2019-12-25
0.8570,0.8582,0.8542,0.8569,2019-12-24
0.8521,0.8592,0.8503,0.8569,2019-12-23
0.8551,0.8552,0.8476,0.8523,2019-12-20
0.8495,0.8557,0.8476,0.8550,2019-12-19
0.8493,0.8518,0.8483,0.8495,2019-12-18
0.8381,0.8510,0.8372,0.8492,2019-12-17
0.8339,0.8398,0.8301,0.8381,2019-12-16
0.8311,0.8388,0.8276,0.8346,2019-12-13
0.8434,0.8508,0.8276,0.8304,2019-12-12
0.8452,0.8459,0.8410,0.8434,2019-12-11
0.8419,0.8462,0.8396,0.8451,2019-12-10
0.8418,0.8427,0.8392,0.8417,2019-12-09
0.8438,0.8468,0.8410,0.8416,2019-12-06
0.8453,0.8456,0.8429,0.8438,2019-12-05
