open,high,low,close,date
125.4750,125.5590,124.4100,124.8310,2020-08-21
125.5770,125.7820,125.0400,125.4690,2020-08-20
125.7650,126.0650,125.3400,125.5950,2020-08-19
125.8870,126.0940,125.3100,125.7860,2020-08-18
126.2090,126.4740,125.6400,125.8640,2020-08-17
126.3780,126.4700,125.7100,126.2010,2020-08-14
125.9880,126.7550,125.8800,126.4000,2020-08-13
125.0350,126.2170,124.9200,125.9810,2020-08-12
124.4030,125.5010,124.3500,125.0300,2020-08-11
124.7210,124.8280,124.2780,124.3990,2020-08-10
125.3540,125.4080,124.4300,124.8500,2020-08-07
125.3730,125.5890,124.6300,125.3540,2020-08-06
124.8020,125.5170,124.6000,125.3760,2020-08-05
124.6940,125.0000,124.2300,124.7950,2020-08-04
124.7690,125.0600,123.9600,124.6740,2020-08-03
124.0720,125.2090,123.8100,124.7050,2020-07-31
123.7500,124.1970,123.3000,124.0690,2020-07-30
123.1760,123.7940,122.9900,123.7400,2020-07-29
123.8690,123.9880,122.9800,123.1600,2020-07-28
123.4980,123.9210,123.1900,123.8900,2020-07-27
123.9250,123.9550,122.8090,123.7130,2020-07-24
123.9610,124.2420,123.6800,123.9260,2020-07-23
123.2550,124.2910,123.0300,123.9700,2020-07-22
122.7600,123.2610,122.4400,123.2240,2020-07-21
122.3960,122.9820,122.2300,122.7470,2020-07-20
122.1790,122.5760,121.9000,122.2850,2020-07-17
122.0180,122.5040,121.7800,122.1750,2020-07-16
122.3800,122.4990,121.7900,122.0130,2020-07-15
121.7330,122.4290,121.4400,122.3700,2020-07-14
120.9560,121.9650,120.7900,121.7300,2020-07-13
121.0030,121.0810,120.2300,120.7840,2020-07-10
121.5750,121.9680,120.8700,120.9990,2020-07-09
121.2640,121.8800,121.1100,121.5830,2020-07-08
121.4440,121.7180,121.1360,121.2560,2020-07-07
120.9130,121.9680,120.8800,121.4440,2020-07-06
120.8640,120.9640,120.5700,120.8360,2020-07-03
120.9060,121.4420,120.6950,120.8700,2020-07-02
121.2770,121.4820,120.2300,120.9030,2020-07-01
120.9950,121.4270,120.5600,121.2770,2020-06-30
120.2860,121.3590,120.2000,120.9930,2020-06-29
120.2450,120.3800,119.7800,120.2870,2020-06-26
120.4510,120.6250,120.1100,120.2430,2020-06-25
120.3900,120.7500,120.0200,120.4510,2020-06-24
120.5120,121.1000,119.8800,120.3870,2020-06-23
119.4410,120.5430,119.2700,120.5150,2020-06-22
119.8390,120.2130,119.3140,119.4570,2020-06-19
120.3810,120.5410,119.5600,119.8510,2020-06-18
120.8880,121.2330,120.1300,120.3710,2020-06-17
121.7080,122.1170,120.4500,120.8740,2020-06-16
120.8440,121.7370,120.3100,121.7090,2020-06-15
120.6600,121.8160,120.2300,120.8870,2020-06-12
121.6550,121.8940,120.4100,120.6580,2020-06-11
122.2540,122.3630,121.5500,121.6540,2020-06-10
122.5820,122.5990,121.2900,122.2310,2020-06-09
123.8370,124.1200,122.1900,122.5700,2020-06-08
123.7790,124.4310,123.5100,123.7080,2020-06-05
122.4120,123.9190,121.8100,123.4080,2020-06-04
121.3470,122.6250,121.2400,122.4110,2020-06-03
119.7370,121.6320,119.5900,121.3590,2020-06-02
119.7010,119.9750,119.3900,119.7310,2020-06-01
119.2450,119.8990,118.8400,119.7320,2020-05-29
118.6770,119.3930,118.4500,119.2410,2020-05-28
118.0510,118.9100,117.6700,118.6750,2020-05-27
117.3700,118.3430,117.3400,118.0510,2020-05-26
117.4310,117.5570,117.0500,117.3700,2020-05-25
117.8380,117.9800,116.9600,117.3100,2020-05-22
118.1550,118.5250,117.6900,117.8120,2020-05-21
117.8000,118.2030,117.7000,118.1560,2020-05-20
117.1390,118.1990,117.0000,117.7940,2020-05-19
116.0690,117.2410,115.8100,117.1260,2020-05-18
115.8570,116.1970,115.4400,115.9420,2020-05-15
115.7840,115.9530,115.2900,115.8530,2020-05-14
116.3770,116.4010,115.6450,115.7770,2020-05-13
116.3550,116.8560,115.9300,116.3840,2020-05-12
115.7910,116.5140,115.6500,116.3500,2020-05-11
115.1950,115.7440,115.0000,115.6390,2020-05-08
114.5030,115.2910,114.4500,115.2010,2020-05-07
114.6220,114.7190,114.3700,114.5040,2020-05-06
116.3400,116.5690,115.4300,115.5040,2020-05-05
117.0580,117.1510,116.2300,116.3390,2020-05-04
117.2220,117.7660,117.0000,117.4000,2020-05-01
115.9250,117.7760,115.5300,117.2260,2020-04-30
115.6650,116.0770,115.4100,115.9190,2020-04-29
116.1440,116.2700,115.5190,115.6610,2020-04-28
116.2290,116.5110,116.0100,116.1410,2020-04-27
115.9770,116.4300,115.5200,116.3570,2020-04-24
116.6540,116.8360,115.6200,115.9790,2020-04-23
116.9400,117.2200,116.4200,116.6700,2020-04-22
117.0210,117.1620,116.1900,116.9400,2020-04-21
116.9770,117.2900,116.7920,117.0210,2020-04-20
117.2530,117.4200,116.5900,116.9610,2020-04-17
117.1300,117.5010,116.5300,117.2450,2020-04-16
117.7200,117.7510,116.7600,117.1300,2020-04-15
117.5520,117.9400,117.2700,117.7150,2020-04-14
118.4730,118.5280,117.2800,117.5440,2020-04-13
118.5260,118.7500,118.3080,118.5420,2020-04-10
118.2010,119.0000,118.0500,118.5180,2020-04-09
118.4920,118.6950,117.8900,118.1980,2020-04-08
117.7810,119.0370,117.4900,118.4760,2020-04-07
117.3260,118.3070,117.2900,117.7800,2020-04-06
117.3140,117.3860,116.7100,117.2780,2020-04-03
117.4490,117.7170,116.3300,117.3110,2020-04-02
118.7820,118.8740,116.9200,117.4530,2020-04-01
119.2200,119.7060,118.1800,118.7790,2020-03-31
119.6100,119.8580,118.7800,119.2200,2020-03-30
120.6530,120.8170,118.7800,120.2200,2020-03-27
120.7910,121.0810,119.9480,120.6510,2020-03-26
120.2160,121.1510,119.4900,120.7860,2020-03-25
119.2550,120.5370,118.7900,120.2160,2020-03-24
118.3850,119.9370,117.7000,119.2420,2020-03-23
118.2210,119.3000,117.8240,118.5780,2020-03-20
118.0960,119.3240,117.3850,118.2180,2020-03-19
118.1770,118.4410,116.8700,118.0960,2020-03-18
118.7040,119.6850,117.2880,118.1770,2020-03-17
118.6690,119.4420,117.1310,118.7020,2020-03-16
117.1000,120.3220,116.8700,119.8640,2020-03-13
117.9150,118.3360,116.2800,117.0930,2020-03-12
118.8550,119.2260,117.3920,117.9060,2020-03-11
117.1700,119.4870,116.9400,118.8550,2020-03-10
118.1040,118.6080,116.1000,117.1680,2020-03-09
119.2370,119.4350,118.6900,118.9350,2020-03-06
119.7280,119.9990,118.9800,119.2290,2020-03-05
119.6780,120.1310,119.0190,119.7280,2020-03-04
120.6080,120.9500,119.5280,119.6900,2020-03-03
118.6030,120.7500,118.5980,120.6080,2020-03-02
120.5190,120.6610,118.3700,119.1880,2020-02-28
120.1690,121.0420,119.9300,120.5290,2020-02-27
119.9030,120.5860,119.7300,120.1690,2020-02-26
120.0890,120.5350,119.3900,119.9030,2020-02-25
120.6720,121.0710,119.8700,120.0900,2020-02-24
120.8820,121.3520,120.3370,121.0320,2020-02-21
120.2350,121.3960,120.0600,120.8820,2020-02-20
118.5980,120.4990,118.5500,120.2340,2020-02-19
119.0510,119.0510,118.4500,118.5950,2020-02-18
118.9900,119.1950,118.8800,119.0510,2020-02-17
119.0430,119.2310,118.7820,118.8940,2020-02-14
119.6790,119.6980,118.8600,119.0380,2020-02-13
119.8740,120.3040,119.5800,119.6770,2020-02-12
119.7430,120.0250,119.5700,119.8720,2020-02-11
120.0810,120.3450,119.6500,119.7500,2020-02-10
120.7770,120.8030,120.0420,120.1300,2020-02-07
120.7700,121.0220,120.5480,120.7740,2020-02-06
120.8990,121.1520,120.6300,120.7700,2020-02-05
120.1760,120.9900,120.0300,120.8990,2020-02-04
120.1010,120.3800,119.8900,120.1760,2020-02-03
120.1820,120.4080,120.0000,120.2000,2020-01-31
120.0270,120.2600,119.7600,120.1720,2020-01-30
120.3870,120.4100,119.8700,120.0200,2020-01-29
120.0030,120.4240,119.7800,120.3870,2020-01-28
