open,high,low,close,date
1.1865,1.1883,1.1753,1.1796,2020-08-21
1.1851,1.1869,1.1801,1.1865,2020-08-20
1.1940,1.1953,1.1829,1.1851,2020-08-19
1.1872,1.1966,1.1869,1.1939,2020-08-18
1.1842,1.1881,1.1827,1.1873,2020-08-17
1.1817,1.1850,1.1780,1.1841,2020-08-14
1.1787,1.1864,1.1784,1.1817,2020-08-13
1.1744,1.1817,1.1709,1.1787,2020-08-12
1.1742,1.1808,1.1720,1.1742,2020-08-11
1.1776,1.1801,1.1734,1.1740,2020-08-10
1.1881,1.1882,1.1754,1.1787,2020-08-07
1.1873,1.1916,1.1817,1.1881,2020-08-06
1.1798,1.1905,1.1792,1.1872,2020-08-05
1.1760,1.1806,1.1720,1.1798,2020-08-04
1.1794,1.1797,1.1694,1.1758,2020-08-03
1.1848,1.1909,1.1760,1.1771,2020-07-31
1.1790,1.1849,1.1729,1.1848,2020-07-30
1.1720,1.1806,1.1712,1.1790,2020-07-29
1.1764,1.1774,1.1697,1.1720,2020-07-28
1.1653,1.1782,1.1641,1.1763,2020-07-27
1.1602,1.1658,1.1580,1.1656,2020-07-24
1.1570,1.1627,1.1539,1.1601,2020-07-23
1.1532,1.1602,1.1505,1.1570,2020-07-22
1.1445,1.1540,1.1421,1.1532,2020-07-21
1.1436,1.1468,1.1401,1.1446,2020-07-20
1.1385,1.1444,1.1376,1.1425,2020-07-17
1.1412,1.1442,1.1369,1.1384,2020-07-16
1.1409,1.1452,1.1389,1.1410,2020-07-15
1.1345,1.1412,1.1324,1.1408,2020-07-14
1.1316,1.1375,1.1299,1.1345,2020-07-13
1.1287,1.1325,1.1253,1.1296,2020-07-10
1.1333,1.1371,1.1279,1.1287,2020-07-09
1.1274,1.1352,1.1261,1.1330,2020-07-08
1.1311,1.1333,1.1257,1.1273,2020-07-07
1.1244,1.1345,1.1243,1.1310,2020-07-06
1.1242,1.1252,1.1218,1.1246,2020-07-03
1.1252,1.1303,1.1222,1.1240,2020-07-02
1.1234,1.1275,1.1184,1.1252,2020-07-01
1.1249,1.1262,1.1189,1.1235,2020-06-30
1.1224,1.1288,1.1217,1.1249,2020-06-29
1.1221,1.1239,1.1194,1.1218,2020-06-26
1.1252,1.1260,1.1189,1.1221,2020-06-25
1.1308,1.1326,1.1246,1.1252,2020-06-24
1.1273,1.1349,1.1231,1.1308,2020-06-23
1.1180,1.1275,1.1167,1.1273,2020-06-22
1.1208,1.1254,1.1166,1.1176,2020-06-19
1.1245,1.1261,1.1184,1.1209,2020-06-18
1.1259,1.1294,1.1205,1.1244,2020-06-17
1.1329,1.1353,1.1226,1.1258,2020-06-16
1.1247,1.1333,1.1225,1.1329,2020-06-15
1.1298,1.1341,1.1211,1.1260,2020-06-12
1.1377,1.1404,1.1285,1.1299,2020-06-11
1.1339,1.1422,1.1321,1.1376,2020-06-10
1.1294,1.1364,1.1239,1.1338,2020-06-09
1.1301,1.1320,1.1266,1.1293,2020-06-08
1.1337,1.1384,1.1276,1.1287,2020-06-05
1.1232,1.1363,1.1193,1.1321,2020-06-04
1.1172,1.1258,1.1167,1.1231,2020-06-03
1.1132,1.1196,1.1113,1.1172,2020-06-02
1.1111,1.1154,1.1099,1.1131,2020-06-01
1.1073,1.1145,1.1068,1.1107,2020-05-29
1.1013,1.1094,1.0990,1.1073,2020-05-28
1.0982,1.1031,1.0933,1.1013,2020-05-27
1.0895,1.0996,1.0893,1.0982,2020-05-26
1.0904,1.0915,1.0869,1.0894,2020-05-25
1.0951,1.0956,1.0884,1.0900,2020-05-22
1.0979,1.1009,1.0936,1.0950,2020-05-21
1.0924,1.0999,1.0920,1.0978,2020-05-20
1.0917,1.0976,1.0901,1.0923,2020-05-19
1.0820,1.0927,1.0798,1.0916,2020-05-18
1.0803,1.0851,1.0788,1.0818,2020-05-15
1.0818,1.0824,1.0773,1.0803,2020-05-14
1.0851,1.0897,1.0810,1.0818,2020-05-13
1.0810,1.0885,1.0783,1.0852,2020-05-12
1.0835,1.0851,1.0799,1.0809,2020-05-11
1.0836,1.0876,1.0814,1.0838,2020-05-08
1.0798,1.0841,1.0764,1.0838,2020-05-07
1.0806,1.0817,1.0789,1.0797,2020-05-06
1.0904,1.0926,1.0825,1.0844,2020-05-05
1.0956,1.0962,1.0894,1.0904,2020-05-04
1.0943,1.1019,1.0933,1.0980,2020-05-01
1.0875,1.0973,1.0833,1.0943,2020-04-30
1.0825,1.0886,1.0822,1.0875,2020-04-29
1.0829,1.0889,1.0808,1.0823,2020-04-28
1.0817,1.0860,1.0810,1.0829,2020-04-27
1.0780,1.0830,1.0725,1.0824,2020-04-24
1.0823,1.0847,1.0755,1.0780,2020-04-23
1.0854,1.0885,1.0802,1.0823,2020-04-22
1.0864,1.0880,1.0815,1.0854,2020-04-21
1.0868,1.0897,1.0840,1.0864,2020-04-20
1.0860,1.0893,1.0810,1.0874,2020-04-17
1.0902,1.0907,1.0815,1.0860,2020-04-16
1.0984,1.0988,1.0855,1.0901,2020-04-15
1.0915,1.0991,1.0913,1.0983,2020-04-14
1.0937,1.0968,1.0891,1.0915,2020-04-13
1.0926,1.0953,1.0917,1.0932,2020-04-10
1.0859,1.0952,1.0840,1.0926,2020-04-09
1.0892,1.0902,1.0829,1.0859,2020-04-08
1.0785,1.0926,1.0783,1.0892,2020-04-07
1.0817,1.0836,1.0767,1.0785,2020-04-06
1.0850,1.0855,1.0771,1.0812,2020-04-03
1.0956,1.0964,1.0819,1.0850,2020-04-02
1.1023,1.1037,1.0901,1.0956,2020-04-01
1.1042,1.1043,1.0925,1.1023,2020-03-31
1.1110,1.1144,1.1008,1.1041,2020-03-30
1.1034,1.1147,1.0953,1.1140,2020-03-27
1.0881,1.1059,1.0873,1.1034,2020-03-26
1.0812,1.0894,1.0759,1.0881,2020-03-25
1.0745,1.0888,1.0742,1.0810,2020-03-24
1.0659,1.0828,1.0656,1.0745,2020-03-23
1.0663,1.0831,1.0636,1.0693,2020-03-20
1.0933,1.0982,1.0653,1.0663,2020-03-19
1.1015,1.1045,1.0801,1.0933,2020-03-18
1.1168,1.1189,1.0954,1.1015,2020-03-17
1.1157,1.1237,1.1084,1.1168,2020-03-16
1.1176,1.1221,1.1053,1.1105,2020-03-13
1.1259,1.1334,1.1054,1.1176,2020-03-12
1.1308,1.1367,1.1249,1.1258,2020-03-11
1.1439,1.1439,1.1274,1.1307,2020-03-10
1.1387,1.1496,1.1355,1.1438,2020-03-09
1.1230,1.1355,1.1211,1.1285,2020-03-06
1.1133,1.1245,1.1118,1.1231,2020-03-05
1.1169,1.1188,1.1094,1.1133,2020-03-04
1.1139,1.1214,1.1094,1.1169,2020-03-03
1.1046,1.1185,1.1035,1.1139,2020-03-02
1.1002,1.1053,1.0949,1.1029,2020-02-28
1.0882,1.1007,1.0878,1.1002,2020-02-27
1.0881,1.0909,1.0853,1.0882,2020-02-26
1.0852,1.0890,1.0828,1.0880,2020-02-25
1.0830,1.0872,1.0804,1.0852,2020-02-24
1.0787,1.0863,1.0783,1.0847,2020-02-21
1.0808,1.0821,1.0777,1.0787,2020-02-20
1.0795,1.0812,1.0780,1.0808,2020-02-19
1.0837,1.0837,1.0785,1.0794,2020-02-18
1.0838,1.0851,1.0827,1.0836,2020-02-17
1.0840,1.0861,1.0826,1.0830,2020-02-14
1.0872,1.0889,1.0833,1.0840,2020-02-13
1.0919,1.0926,1.0863,1.0871,2020-02-12
1.0911,1.0925,1.0891,1.0919,2020-02-11
1.0944,1.0958,1.0907,1.0910,2020-02-10
1.0981,1.0985,1.0940,1.0944,2020-02-07
1.1000,1.1014,1.0963,1.0980,2020-02-06
1.1045,1.1048,1.0992,1.0999,2020-02-05
1.1059,1.1064,1.1031,1.1044,2020-02-04
1.1084,1.1091,1.1035,1.1059,2020-02-03
1.1032,1.1096,1.1015,1.1092,2020-01-31
1.1010,1.1039,1.1005,1.1031,2020-01-30
1.1022,1.1028,1.0991,1.1009,2020-01-29
1.1018,1.1025,1.0996,1.1022,2020-01-28
1.1030,1.1038,1.1008,1.1018,2020-01-27
1.1055,1.1062,1.1019,1.1025,2020-01-24
1.1093,1.1109,1.1035,1.1055,2020-01-23
1.1082,1.1099,1.1069,1.1092,2020-01-22
1.1096,1.1118,1.1079,1.1082,2020-01-21
1.1091,1.1102,1.1075,1.1096,2020-01-20
1.1137,1.1143,1.1084,1.1088,2020-01-17
1.1152,1.1173,1.1127,1.1137,2020-01-16
1.1126,1.1163,1.1117,1.1152,2020-01-15
1.1135,1.1145,1.1103,1.1126,2020-01-14
1.1117,1.1147,1.1111,1.1135,2020-01-13
1.1106,1.1129,1.1084,1.1120,2020-01-10
1.1110,1.1120,1.1092,1.1106,2020-01-09
1.1147,1.1168,1.1100,1.1110,2020-01-08
1.1196,1.1198,1.1132,1.1148,2020-01-07
1.1160,1.1205,1.1155,1.1196,2020-01-06
1.1171,1.1180,1.1123,1.1160,2020-01-03
1.1215,1.1224,1.1162,1.1171,2020-01-02
1.1212,1.1221,1.1208,1.1215,2020-01-01
1.1199,1.1239,1.1197,1.1213,2019-12-31
1.1179,1.1221,1.1176,1.1199,2019-12-30
1.1096,1.1188,1.1095,1.1175,2019-12-27
1.1091,1.1109,1.1081,1.1095,2019-12-26
1.1087,1.1102,1.1072,1.1091,2019-12-25
1.1090,1.1094,1.1068,1.1088,2019-12-24
1.1078,1.1096,1.1068,1.1090,2019-12-23
1.1124,1.1125,1.1065,1.1077,2019-12-20
1.1116,1.1144,1.1106,1.1124,2019-12-19
1.1153,1.1153,1.1109,1.1115,2019-12-18
1.1138,1.1175,1.1128,1.1153,2019-12-17
1.1129,1.1158,1.1121,1.1137,2019-12-16
1.1183,1.1193,1.1110,1.1122,2019-12-13
1.1133,1.1200,1.1102,1.1183,2019-12-12
1.1093,1.1145,1.1069,1.1133,2019-12-11
1.1065,1.1098,1.1061,1.1093,2019-12-10
1.1057,1.1078,1.1052,1.1065,2019-12-09
1.1104,1.1110,1.1038,1.1056,2019-12-06
1.1078,1.1108,1.1077,1.1104,2019-12-05
1.1082,1.1116,1.1065,1.1078,2019-12-04
1.1076,1.1094,1.1065,1.1082,2019-12-03
1.1021,1.1091,1.1001,1.1076,2019-12-02
1.1011,1.1028,1.0980,1.1017,2019-11-29
1.1005,1.1018,1.0999,1.1009,2019-11-28
1.1023,1.1023,1.0990,1.1005,2019-11-27
