open,high,low,close,date
139.7960,139.9440,138.2200,138.5250,2020-08-21
139.0130,139.8860,138.5400,139.7940,2020-08-20
139.5450,139.9520,138.7700,139.0120,2020-08-19
138.9280,139.6810,138.5700,139.5430,2020-08-18
139.6050,139.6880,138.6350,138.9220,2020-08-17
139.7940,140.0160,139.3170,139.5010,2020-08-14
139.3280,140.2080,139.2400,139.7940,2020-08-13
139.0350,139.6210,138.8500,139.3000,2020-08-12
138.5120,139.5020,138.4700,139.0310,2020-08-11
138.1500,138.6450,138.0700,138.5060,2020-08-10
138.6670,138.7560,137.8300,138.2400,2020-08-07
138.6070,139.2370,138.4100,138.6400,2020-08-06
138.2690,139.0070,138.0100,138.5990,2020-08-05
138.6440,138.8830,137.7800,138.2400,2020-08-04
138.5730,139.0280,137.7200,138.6420,2020-08-03
137.1490,139.2020,136.7600,138.5910,2020-07-31
136.3650,137.3880,136.0350,137.1390,2020-07-30
135.8540,136.4830,135.6500,136.3630,2020-07-29
135.7740,136.1320,135.2900,135.8520,2020-07-28
135.5830,135.9900,135.1200,135.7500,2020-07-27
136.1200,136.1220,134.9700,135.7570,2020-07-24
136.4660,136.6260,135.8100,136.1130,2020-07-23
136.0440,136.6230,135.2500,136.4590,2020-07-22
135.7590,136.4420,135.6800,136.0420,2020-07-21
134.5030,135.9090,134.3170,135.7500,2020-07-20
134.7310,134.9100,134.0900,134.5040,2020-07-17
134.5990,135.1710,134.0300,134.7260,2020-07-16
134.8200,135.0860,134.4400,134.5970,2020-07-15
134.7320,134.8850,133.9500,134.8400,2020-07-14
135.0740,135.4840,134.5190,134.7100,2020-07-13
135.1220,135.2190,134.2600,134.9550,2020-07-10
135.2730,135.9200,135.0200,135.1170,2020-07-09
134.8920,135.4280,134.5500,135.2620,2020-07-08
134.1240,135.4170,134.0720,134.8810,2020-07-07
134.1280,134.6750,133.9360,134.1000,2020-07-06
134.0950,134.2540,133.6700,134.1830,2020-07-03
134.0400,134.7050,133.7570,134.0880,2020-07-02
133.7840,134.2280,132.9200,134.0600,2020-07-01
132.3910,133.8950,131.9900,133.7840,2020-06-30
132.2540,132.6900,131.9290,132.3920,2020-06-29
133.1060,133.2750,132.0100,132.2830,2020-06-26
132.8910,133.6160,132.7700,133.1060,2020-06-25
133.2670,133.6210,132.6500,132.8990,2020-06-24
133.5140,134.0060,132.5700,133.2620,2020-06-23
131.9020,133.5620,131.7400,133.5180,2020-06-22
132.8910,133.2530,131.8070,131.9810,2020-06-19
134.4370,134.4550,132.3620,132.8890,2020-06-18
134.9220,135.2220,134.0250,134.4370,2020-06-17
135.6340,136.3560,134.7000,134.9240,2020-06-16
134.4470,135.6580,133.4700,135.6210,2020-06-15
134.4040,136.0440,133.7700,134.7000,2020-06-12
136.2540,136.4210,134.0900,134.4060,2020-06-11
137.2260,137.4190,136.2090,136.2500,2020-06-10
138.2050,138.2070,136.2100,137.2210,2020-06-09
139.1230,139.5810,137.4000,138.1990,2020-06-08
137.5490,139.7440,137.2500,138.8370,2020-06-05
137.0210,137.6560,135.9300,137.4000,2020-06-04
136.3040,137.4070,136.2300,137.0170,2020-06-03
134.3020,136.5200,134.1900,136.2990,2020-06-02
133.0060,134.5730,132.8400,134.2990,2020-06-01
132.6450,133.4590,131.7600,133.1250,2020-05-29
132.1500,132.8810,131.7990,132.6490,2020-05-28
132.5890,133.0030,131.6100,132.1200,2020-05-27
131.3120,133.0380,131.2800,132.5880,2020-05-26
131.2220,131.4110,130.9600,131.3070,2020-05-25
131.5410,131.7800,130.6460,130.9490,2020-05-22
