open,high,low,close,date
1.3220,1.3255,1.3057,1.3090,2020-08-21
1.3117,1.3225,1.3062,1.3219,2020-08-20
1.3245,1.3267,1.3091,1.3117,2020-08-19
1.3103,1.3250,1.3099,1.3244,2020-08-18
1.3096,1.3122,1.3072,1.3102,2020-08-17
1.3070,1.3143,1.3047,1.3084,2020-08-14
1.3036,1.3125,1.3031,1.3070,2020-08-13
1.3058,1.3068,1.3004,1.3035,2020-08-12
1.3073,1.3132,1.3040,1.3058,2020-08-11
1.3043,1.3103,1.3017,1.3073,2020-08-10
1.3143,1.3148,1.3007,1.3051,2020-08-07
1.3125,1.3186,1.3116,1.3142,2020-08-06
1.3072,1.3162,1.3056,1.3125,2020-08-05
1.3076,1.3108,1.2979,1.3070,2020-08-04
1.3100,1.3113,1.3003,1.3075,2020-08-03
1.3096,1.3170,1.3069,1.3082,2020-07-31
1.2992,1.3103,1.2943,1.3096,2020-07-30
1.2927,1.3014,1.2910,1.2991,2020-07-29
1.2892,1.2953,1.2836,1.2927,2020-07-28
1.2793,1.2903,1.2784,1.2891,2020-07-27
1.2742,1.2804,1.2715,1.2789,2020-07-24
1.2734,1.2760,1.2671,1.2741,2020-07-23
1.2730,1.2744,1.2642,1.2734,2020-07-22
1.2656,1.2768,1.2648,1.2729,2020-07-21
1.2567,1.2665,1.2516,1.2657,2020-07-20
1.2555,1.2574,1.2510,1.2567,2020-07-17
1.2589,1.2625,1.2518,1.2554,2020-07-16
1.2571,1.2650,1.2561,1.2589,2020-07-15
1.2557,1.2574,1.2478,1.2571,2020-07-14
1.2636,1.2666,1.2548,1.2556,2020-07-13
1.2605,1.2664,1.2565,1.2620,2020-07-10
1.2609,1.2669,1.2598,1.2604,2020-07-09
1.2542,1.2623,1.2506,1.2608,2020-07-08
1.2492,1.2592,1.2461,1.2541,2020-07-07
1.2472,1.2520,1.2468,1.2491,2020-07-06
1.2471,1.2488,1.2437,1.2481,2020-07-03
1.2477,1.2530,1.2455,1.2470,2020-07-02
1.2394,1.2490,1.2357,1.2476,2020-07-01
1.2309,1.2402,1.2256,1.2393,2020-06-30
1.2341,1.2390,1.2249,1.2309,2020-06-29
1.2422,1.2437,1.2313,1.2336,2020-06-26
1.2414,1.2464,1.2388,1.2421,2020-06-25
1.2517,1.2543,1.2411,1.2414,2020-06-24
1.2489,1.2532,1.2430,1.2517,2020-06-23
1.2346,1.2492,1.2333,1.2488,2020-06-22
1.2428,1.2456,1.2342,1.2348,2020-06-19
1.2558,1.2563,1.2401,1.2428,2020-06-18
1.2567,1.2589,1.2509,1.2557,2020-06-17
1.2626,1.2688,1.2551,1.2567,2020-06-16
1.2511,1.2628,1.2452,1.2625,2020-06-15
1.2587,1.2653,1.2472,1.2538,2020-06-12
1.2743,1.2752,1.2568,1.2586,2020-06-11
1.2728,1.2813,1.2704,1.2743,2020-06-10
1.2734,1.2756,1.2617,1.2727,2020-06-09
1.2696,1.2736,1.2626,1.2733,2020-06-08
1.2599,1.2732,1.2581,1.2667,2020-06-05
1.2573,1.2627,1.2498,1.2606,2020-06-04
1.2549,1.2615,1.2545,1.2573,2020-06-03
1.2487,1.2576,1.2476,1.2548,2020-06-02
1.2345,1.2507,1.2340,1.2487,2020-06-01
1.2318,1.2394,1.2289,1.2348,2020-05-29
1.2264,1.2345,1.2232,1.2318,2020-05-28
1.2333,1.2354,1.2203,1.2263,2020-05-27
1.2188,1.2363,1.2186,1.2333,2020-05-26
1.2185,1.2204,1.2162,1.2188,2020-05-25
1.2224,1.2234,1.2160,1.2166,2020-05-22
1.2237,1.2249,1.2184,1.2223,2020-05-21
1.2249,1.2287,1.2220,1.2237,2020-05-20
1.2200,1.2296,1.2182,1.2249,2020-05-19
1.2090,1.2227,1.2077,1.2201,2020-05-18
1.2226,1.2239,1.2099,1.2101,2020-05-15
1.2232,1.2242,1.2164,1.2225,2020-05-14
1.2268,1.2340,1.2208,1.2232,2020-05-13
1.2336,1.2378,1.2253,1.2268,2020-05-12
1.2405,1.2438,1.2282,1.2335,2020-05-11
1.2373,1.2467,1.2355,1.2408,2020-05-08
1.2332,1.2418,1.2264,1.2373,2020-05-07
1.2345,1.2367,1.2325,1.2332,2020-05-06
1.2443,1.2484,1.2419,1.2447,2020-05-05
1.2456,1.2477,1.2403,1.2443,2020-05-04
1.2583,1.2588,1.2482,1.2492,2020-05-01
1.2471,1.2643,1.2428,1.2582,2020-04-30
1.2426,1.2485,1.2387,1.2471,2020-04-29
1.2425,1.2518,1.2402,1.2425,2020-04-28
1.2364,1.2454,1.2358,1.2425,2020-04-27
1.2353,1.2377,1.2296,1.2367,2020-04-24
1.2342,1.2415,1.2306,1.2353,2020-04-23
1.2296,1.2386,1.2273,1.2341,2020-04-22
1.2441,1.2443,1.2246,1.2296,2020-04-21
1.2491,1.2494,1.2415,1.2441,2020-04-20
1.2480,1.2522,1.2405,1.2506,2020-04-17
1.2522,1.2526,1.2407,1.2479,2020-04-16
1.2623,1.2631,1.2436,1.2522,2020-04-15
1.2513,1.2648,1.2508,1.2623,2020-04-14
1.2464,1.2536,1.2452,1.2512,2020-04-13
1.2457,1.2487,1.2442,1.2452,2020-04-10
1.2385,1.2484,1.2358,1.2460,2020-04-09
1.2340,1.2419,1.2286,1.2385,2020-04-08
1.2194,1.2384,1.2193,1.2340,2020-04-07
1.2238,1.2327,1.2163,1.2194,2020-04-06
1.2391,1.2396,1.2204,1.2268,2020-04-03
1.2395,1.2475,1.2347,1.2391,2020-04-02
1.2395,1.2439,1.2329,1.2396,2020-04-01
1.2388,1.2473,1.2241,1.2395,2020-03-31
