Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-08-24,1.977,2.045,1.905,1.997,0,0,0
2015-08-25,2.063,2.135,2.049,2.133,0,0,0
2015-08-26,2.129,2.181,2.098,2.172,0,0,0
2015-08-27,2.181,2.207,2.161,2.168,0,0,0
2015-08-28,2.165,2.193,2.128,2.186,0,0,0
2015-08-31,2.161,2.207,2.137,2.2,0,0,0
2015-09-01,2.165,2.195,2.151,2.172,0,0,0
2015-09-02,2.16,2.199,2.154,2.193,0,0,0
2015-09-03,2.174,2.197,2.153,2.168,0,0,0
2015-09-04,2.128,2.169,2.114,2.128,0,0,0
2015-09-08,2.162,2.199,2.16,2.194,0,0,0
2015-09-09,2.218,2.254,2.172,2.181,0,0,0
2015-09-10,2.219,2.236,2.19,2.222,0,0,0
2015-09-11,2.203,2.206,2.172,2.183,0,0,0
2015-09-14,2.167,2.196,2.164,2.18,0,0,0
2015-09-15,2.172,2.281,2.171,2.281,0,0,0
2015-09-16,2.281,2.303,2.264,2.303,0,0,0
2015-09-17,2.283,2.294,2.203,2.217,0,0,0
2015-09-18,2.157,2.173,2.13,2.13,0,0,0
2015-09-21,2.175,2.217,2.166,2.214,0,0,0
2015-09-22,2.171,2.171,2.114,2.125,0,0,0
2015-09-23,2.151,2.171,2.136,2.144,0,0,0
2015-09-24,2.113,2.127,2.081,2.12,0,0,0
2015-09-25,2.18,2.198,2.157,2.168,0,0,0
2015-09-28,2.134,2.157,2.093,2.095,0,0,0
2015-09-29,2.113,2.114,2.047,2.054,0,0,0
2015-09-30,2.091,2.093,2.053,2.06,0,0,0
2015-10-01,2.039,2.046,2.01,2.042,0,0,0
2015-10-02,2.047,2.065,1.906,1.989,0,0,0
2015-10-05,2.017,2.06,2.012,2.056,0,0,0
2015-10-06,2.046,2.077,2.03,2.035,0,0,0
2015-10-07,2.065,2.086,2.053,2.062,0,0,0
2015-10-08,2.056,2.113,2.049,2.108,0,0,0
2015-10-09,2.118,2.138,2.088,2.099,0,0,0
2015-10-12,2.09,2.09,2.09,2.09,0,0,0
2015-10-13,2.062,2.078,2.044,2.055,0,0,0
2015-10-14,2.04,2.042,1.979,1.981,0,0,0
2015-10-15,2.0,2.028,1.996,2.023,0,0,0
2015-10-16,2.014,2.033,2.005,2.023,0,0,0
2015-10-19,2.04,2.056,2.021,2.028,0,0,0
2015-10-20,2.055,2.079,2.053,2.071,0,0,0
2015-10-21,2.056,2.058,2.018,2.03,0,0,0
2015-10-22,2.041,2.055,2.003,2.025,0,0,0
2015-10-23,2.072,2.097,2.072,2.083,0,0,0
2015-10-26,2.074,2.074,2.051,2.058,0,0,0
2015-10-27,2.041,2.042,2.009,2.028,0,0,0
2015-10-28,2.035,2.106,2.032,2.092,0,0,0
2015-10-29,2.106,2.18,2.096,2.173,0,0,0
2015-10-30,2.173,2.182,2.142,2.151,0,0,0
2015-11-02,2.175,2.189,2.167,2.187,0,0,0
2015-11-03,2.194,2.225,2.189,2.22,0,0,0
2015-11-04,2.209,2.241,2.198,2.23,0,0,0
2015-11-05,2.249,2.261,2.225,2.245,0,0,0
2015-11-06,2.229,2.349,2.229,2.333,0,0,0
2015-11-09,2.344,2.377,2.331,2.342,0,0,0
2015-11-10,2.327,2.353,2.311,2.322,0,0,0
2015-11-11,2.338,2.338,2.338,2.338,0,0,0
2015-11-12,2.326,2.342,2.299,2.319,0,0,0
2015-11-13,2.305,2.312,2.271,2.28,0,0,0
2015-11-16,2.259,2.273,2.243,2.273,0,0,0
2015-11-17,2.285,2.313,2.254,2.261,0,0,0
2015-11-18,2.285,2.299,2.262,2.269,0,0,0
2015-11-19,2.261,2.264,2.232,2.248,0,0,0
2015-11-20,2.25,2.262,2.231,2.262,0,0,0
2015-11-23,2.294,2.298,2.239,2.25,0,0,0
2015-11-24,2.217,2.25,2.206,2.243,0,0,0
